,SMILES,NFKB1,EGFR,SCScore,QED
0,C/C=C(\Br)C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,32127.43042987469,760.7213164282655,2.731,0.638
1,C/C=C(\N)C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,35312.683135455234,1233.5261947747028,2.673,0.61
2,C/C=C/C(=N)CC(=O)/C=C/c1ccc(O)c(OC)c1,209742.41675577135,2783.092404354379,2.361,0.609
3,C/C=C/C(=O)CC(/C=C/c1ccc(O)c(OC)c1)=C(C)C,8441.066536686963,586.5432705398548,2.666,0.627
4,C/C=C/C(=O)CC(/C=C/c1ccc(O)c(OC)c1)=NO,14572.823373598605,573.5504498881675,2.561,0.362
5,C/C=C/C(=O)CC(/C=C/c1ccc(O)c(OC)c1)=NOC,15506.289531231007,537.353269079149,2.783,0.476
6,C/C=C/C(=O)CC(=N)/C=C/c1ccc(O)c(OC)c1,28275.748377794043,679.9330088771183,2.407,0.609
7,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,135697.67682108778,1333.1642272423362,2.133,0.63
8,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OCC)c1,79382.7087299025,1260.818854483799,2.535,0.613
9,C/C=C/C(=O)CC(=O)/C=C/c1ccc(OC)c(O)c1,7271.671553337109,191.50319222911992,2.325,0.63
10,C/C=C/C(=O)CC(=O)/C=C/c1ccc(OC)c(OC)c1,28656.171665599562,558.9385245736589,2.133,0.566
11,C/C=C/C(=O)CC(=S)/C=C/c1ccc(O)c(OC)c1,39810.48976139576,1737.1246009741592,2.508,0.639
12,C/C=C/C(=O)CNC(=O)/C=C/c1ccc(O)c(OC)c1,48386.67297324873,1954.0235534018764,2.7,0.774
13,C/C=C/C(=O)NCC(=O)/C=C/c1ccc(O)c(OC)c1,21789.597427812598,2031.877717821548,2.67,0.774
14,C/C=C/C(=S)CC(=O)/C=C/c1ccc(O)c(OC)c1,6559.600119546701,744.5369457093162,2.52,0.639
15,C/C=C/C(CC(=O)/C=C/c1ccc(O)c(OC)c1)=C(C)C,7088.159561894166,753.6746608467174,2.508,0.627
16,C/C=C/C(CC(=O)/C=C/c1ccc(O)c(OC)c1)=NO,10112.843251593298,1434.5616204763476,2.545,0.362
17,C/C=C/C(CC(=O)/C=C/c1ccc(O)c(OC)c1)=NOC,12628.304993840862,879.7085207664777,2.883,0.476
18,C=C(/C=C/C(C)C)CC(=O)/C=C/c1ccc(O)c(OC)c1,26562.136275341985,1264.823134116537,2.916,0.605
19,C=C(/C=C/C(N)=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,50071.7292633943,1187.4138960508092,2.673,0.592
20,C=C(/C=C/C)CC(=O)/C=C/c1ccc(O)c(OC)c1,60420.218169904656,1626.457336369609,2.701,0.627
21,C=C(/C=C/CO)CC(=O)/C=C/c1ccc(O)c(OC)c1,57742.12056403286,1162.9098143873307,2.647,0.592
22,C=C(/C=C/c1cc(O)c(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,15036.604354237248,1035.2680123428431,2.902,0.362
23,C=C(/C=C/c1cc(OC)c(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,5717.848788320644,2964.435107547489,2.89,0.484
24,C=C(/C=C/c1cc(OC)c(OC)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,1488.113416150399,2731.0691885371352,2.627,0.453
25,C=C(/C=C/c1ccc(Br)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,188.4375570091362,298.110746556213,2.648,0.45
26,C=C(/C=C/c1ccc(Cl)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,48.75442406092566,61.988032733253135,2.83,0.495
27,C=C(/C=C/c1ccc(Cl)cc1)CC(=O)/C=C/c1ccc(O)c(OC)c1,1959.8936843778622,218.61824003649556,2.68,0.542
28,C=C(/C=C/c1ccc(F)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,540.4003314108154,396.2506693588854,2.633,0.538
29,C=C(/C=C/c1ccc(I)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,704.4231716363549,426.1264932103217,2.664,0.321
30,C=C(/C=C/c1ccc(N)cc1)CC(=O)/C=C/c1ccc(O)c(OC)c1,4560.493497376219,265.8238388332075,2.857,0.451
31,C=C(/C=C/c1ccc(O)c(Br)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,177.18089888135287,136.56450333603064,2.621,0.487
32,C=C(/C=C/c1ccc(O)c(Cl)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,7056.586435355164,65.52056590120414,2.727,0.531
33,C=C(/C=C/c1ccc(O)c(F)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,1056.9571678463951,541.330296319442,2.939,0.568
34,C=C(/C=C/c1ccc(O)c(N)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,3729.0732476945877,1253.1454457315656,2.745,0.304
35,C=C(/C=C/c1ccc(O)c(O)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,8642.28017564427,4822.533162439392,2.407,0.397
36,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/C,3632.801759340557,1539.0779909507426,2.7,0.627
37,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/C(C)C,2309.2301359059525,1766.0716688157377,2.992,0.605
38,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/C(N)=O,3710.808119822175,1279.0564872133032,2.58,0.592
39,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/CO,5117.2747413815905,1469.186958216508,2.652,0.592
40,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1cc(O)c(O)c(OC)c1,10149.417467179383,904.1860870157311,2.902,0.362
41,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1cc(OC)c(O)c(OC)c1,4566.586356613259,2850.297888982786,2.89,0.484
42,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,1334.763610144422,2691.489412552468,2.627,0.453
43,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(Br)c(OC)c1,489.27956261488987,576.0989626285818,2.648,0.45
44,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(Cl)c(OC)c1,66.8826647666675,91.27963156973087,2.83,0.495
45,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(Cl)cc1,636.6122180636173,405.7452824166262,2.68,0.542
46,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(F)c(OC)c1,1200.7102264437276,810.2231015639516,2.633,0.538
47,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(I)c(OC)c1,3716.72873895286,1431.2891743451707,2.664,0.321
48,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(N)cc1,640.105451455735,402.6900807611353,2.857,0.451
49,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(Br)c1,239.97555648646522,602.9695378014385,2.621,0.487
50,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(Cl)c1,6011.503664058384,268.421778162517,2.727,0.531
51,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(F)c1,1191.0647281707563,980.5642579703116,2.939,0.568
52,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(N)c1,1676.926421820732,723.3655700676252,2.745,0.304
53,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(O)c1,740.2023053230032,699.3293248389755,2.407,0.397
54,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OCC)c1,2895.244069291963,1563.5192800067007,2.509,0.485
55,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)cc1,1895.6061451090418,1243.9525368611128,2.615,0.583
56,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(OC)c(O)c1,237.6983426176511,289.59117061797883,2.275,0.536
57,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(OC)c(OC)c1,965.9016311491653,1079.6174169414653,2.082,0.506
58,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccccc1,978.6862827143219,789.442943975802,2.477,0.597
59,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)C(=O)O,1554.8774566302986,1143.0002909439513,2.361,0.605
60,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)C=O,1623.848617336336,860.27265020758,2.441,0.474
61,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)Cl,7619.969612688632,4116.215829124796,2.548,0.647
62,C=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)O,15444.305611370817,3996.8421364459937,2.299,0.768
63,C=C(/C=C/c1ccc(O)c(OC)c1)CC(C)=O,6701.468301021634,2565.3481277274846,2.034,0.794
64,C=C(/C=C/c1ccc(O)c(OCC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,8058.705012503392,1643.5002245738697,2.509,0.485
65,C=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)c(OC)c1,7455.709456241718,718.9868119314829,2.615,0.583
66,C=C(/C=C/c1ccc(OC)c(O)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,5451.20051159618,2360.473837650832,2.275,0.536
