,precursor,derivant
0,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C(\Br)C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1
1,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C(\N)C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1
2,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=N)CC(=O)/C=C/c1ccc(O)c(OC)c1
3,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=O)CC(/C=C/c1ccc(O)c(OC)c1)=C(C)C
4,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=O)CC(/C=C/c1ccc(O)c(OC)c1)=NO
5,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=O)CC(/C=C/c1ccc(O)c(OC)c1)=NOC
6,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=O)CC(=N)/C=C/c1ccc(O)c(OC)c1
7,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1
8,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OCC)c1
9,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=O)CC(=O)/C=C/c1ccc(OC)c(O)c1
10,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=O)CC(=O)/C=C/c1ccc(OC)c(OC)c1
11,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=O)CC(=S)/C=C/c1ccc(O)c(OC)c1
12,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=O)CNC(=O)/C=C/c1ccc(O)c(OC)c1
13,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=O)NCC(=O)/C=C/c1ccc(O)c(OC)c1
14,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(=S)CC(=O)/C=C/c1ccc(O)c(OC)c1
15,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(CC(=O)/C=C/c1ccc(O)c(OC)c1)=C(C)C
16,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(CC(=O)/C=C/c1ccc(O)c(OC)c1)=NO
17,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C/C=C/C(CC(=O)/C=C/c1ccc(O)c(OC)c1)=NOC
18,COc1cc(/C=C/C(=O)CC(=O)/C=C/C(C)C)ccc1O,C=C(/C=C/C(C)C)CC(=O)/C=C/c1ccc(O)c(OC)c1
19,COc1cc(/C=C/C(=O)CC(=O)/C=C/C(N)=O)ccc1O,C=C(/C=C/C(N)=O)CC(=O)/C=C/c1ccc(O)c(OC)c1
20,C/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=C(/C=C/C)CC(=O)/C=C/c1ccc(O)c(OC)c1
21,COc1cc(/C=C/C(=O)CC(=O)/C=C/CO)ccc1O,C=C(/C=C/CO)CC(=O)/C=C/c1ccc(O)c(OC)c1
22,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cc(O)c(O)c(OC)c2)ccc1O,C=C(/C=C/c1cc(O)c(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1
23,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cc(OC)c(O)c(OC)c2)ccc1O,C=C(/C=C/c1cc(OC)c(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1
24,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)ccc1O,C=C(/C=C/c1cc(OC)c(OC)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1
25,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(Br)c(OC)c2)ccc1O,C=C(/C=C/c1ccc(Br)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1
26,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(Cl)c(OC)c2)ccc1O,C=C(/C=C/c1ccc(Cl)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1
27,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(Cl)cc2)ccc1O,C=C(/C=C/c1ccc(Cl)cc1)CC(=O)/C=C/c1ccc(O)c(OC)c1
