,SMILES,NFKB1,EGFR,SCScore,QED
0,C#CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,135754.90118482488,2274.41992458053,2.535,0.369
1,C=C/C(CC(=O)/C=C/c1ccc(O)c(OC)c1)=N/O,64048.50808376528,1955.7062994152182,2.62,0.356
2,C=C/C(CC(=O)/C=C/c1ccc(O)c(OC)c1)=N\O,64048.50808376528,1955.7062994152182,2.658,0.356
3,C=CC(=N)CC(=O)/C=C/c1ccc(O)c(OC)c1,65926.98071637338,1924.808768786286,2.546,0.597
4,C=CC(=O)CC(/C=C/c1ccc(O)c(OC)c1)=N/O,10930.595851643726,743.8195525447688,2.575,0.356
5,C=CC(=O)CC(/C=C/c1ccc(O)c(OC)c1)=NO,12678.987223550948,676.7096572040584,2.538,0.356
6,C=CC(=O)CC(/C=C/c1ccc(O)c(OC)c1)=N\O,10930.595851643726,743.8195525447688,2.549,0.356
7,C=CC(=O)CC(=N)/C=C/c1ccc(O)c(OC)c1,30680.617053544975,884.7707354002088,2.481,0.597
8,C=CC(=O)CC(=O)/C=C/c1cc(O)c(O)c(OC)c1,19243.438858580022,269.15485160551657,2.851,0.464
9,C=CC(=O)CC(=O)/C=C/c1ccc(Br)c(OC)c1,30848.629743212943,690.0772419961506,2.419,0.599
10,C=CC(=O)CC(=O)/C=C/c1ccc(Cl)c(OC)c1,5826.126441921801,102.20426804379653,2.514,0.586
11,C=CC(=O)CC(=O)/C=C/c1ccc(F)c(OC)c1,87632.76818527565,1328.2550595352525,2.527,0.574
12,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(O)c1,12405.263546559683,394.0198598379717,2.549,0.461
13,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,83217.31502577185,1685.7541708055273,2.384,0.617
14,C=CC(=O)CC(=O)/C=C/c1ccc(OC(C)=O)c(OC)c1,25449.1350884637,620.2697543198016,2.456,0.333
15,C=CC(=O)CC(=O)/C=C/c1ccc(OC(C)C)c(OC)c1,15764.440655500692,497.7660806346141,2.448,0.544
16,C=CC(=O)CC(=O)/C=C/c1ccc(OC)c(OC)c1,18771.233546830026,785.9696375957086,2.268,0.558
17,C=CC(=O)CC(=O)/C=C/c1ccc(OC=O)c(OC)c1,24593.34726619496,637.7049515242398,2.452,0.412
18,C=CC(=O)CC(=O)/C=C/c1ccc(OCC)c(OC)c1,15857.628080749,423.1937355929129,2.445,0.54
19,C=CC(=O)CC(=O)/C=C/c1ccc(OS)c(OC)c1,33075.865926280145,737.776283378741,2.582,0.36
20,C=CC(CC(=O)/C=C/c1ccc(O)c(OC)c1)=NO,28397.459918899043,1788.8815972538057,2.608,0.356
21,C=CCCC(=O)/C=C/c1ccc(O)c(OC)c1,31373.843520086135,1487.6886663607384,2.064,0.606
22,C=CCOc1ccc(/C=C/C(=O)CBr)cc1OC,2923.5333375595173,204.751833036403,2.246,0.44
23,C=CCOc1ccc(/C=C/C(=O)CC(=O)C=C)cc1OC,28339.774668658523,602.6121446945585,2.275,0.398
24,C=C[C@H](O)CC(=O)/C=C/c1ccc(O)c(OC)c1,21211.457485572933,2854.11217929969,2.399,0.596
25,CCC(=O)/C=C/c1ccc(O)c(OC)c1,60160.26624551997,3297.6944327913484,2.042,0.769
26,CCC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,151754.42953957542,2063.2566845024126,2.498,0.62
27,CCCOc1ccc(/C=C/C(=O)CBr)cc1OC,2331.936870984737,195.34315027627656,2.709,0.571
28,CCOc1cc(O)c(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,23343.089783937685,232.5488552217189,2.911,0.452
29,CCOc1ccc(/C=C/C(=N)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,17774.43946483967,425.0834880322898,2.336,0.456
30,CCOc1ccc(/C=C/C(=O)C(=O)C(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,15962.368901773034,430.3156639478708,2.449,0.365
31,CCOc1ccc(/C=C/C(=O)C(C)C(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,2760.674752893908,463.15125690788176,2.475,0.464
32,CCOc1ccc(/C=C/C(=O)CBr)cc1OC,6423.626274243455,292.1126890610062,2.358,0.598
33,CCOc1ccc(/C=C/C(=O)CC(/C=C/c2ccc(O)c(OC)c2)=N/O)cc1OC,5873.978364056761,371.90881972037704,2.486,0.261
34,CCOc1ccc(/C=C/C(=O)CC(/C=C/c2ccc(O)c(OC)c2)=NO)cc1OC,12071.052748035809,293.5459972103126,2.368,0.261
35,CCOc1ccc(/C=C/C(=O)CC(/C=C/c2ccc(O)c(OC)c2)=N\O)cc1OC,5873.978364056761,371.90881972037704,2.525,0.261
36,CCOc1ccc(/C=C/C(=O)CC(=N)/C=C/c2ccc(O)c(OC)c2)cc1OC,19650.304891234326,382.18654245985044,2.336,0.456
37,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2cc(O)c(O)c(OC)c2)cc1OC,9366.136400937792,156.78995015469818,2.685,0.348
38,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2cc(OC)c(O)cc2O)cc1OC,13258.538414181814,696.2937725460613,2.777,0.452
