,precursor,derivant
0,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C#CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1
1,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=C/C(CC(=O)/C=C/c1ccc(O)c(OC)c1)=N/O
2,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=C/C(CC(=O)/C=C/c1ccc(O)c(OC)c1)=N\O
3,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=N)CC(=O)/C=C/c1ccc(O)c(OC)c1
4,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(/C=C/c1ccc(O)c(OC)c1)=N/O
5,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(/C=C/c1ccc(O)c(OC)c1)=NO
6,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(/C=C/c1ccc(O)c(OC)c1)=N\O
7,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=N)/C=C/c1ccc(O)c(OC)c1
8,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=O)/C=C/c1cc(O)c(O)c(OC)c1
9,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=O)/C=C/c1ccc(Br)c(OC)c1
10,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=O)/C=C/c1ccc(Cl)c(OC)c1
11,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=O)/C=C/c1ccc(F)c(OC)c1
12,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(O)c1
13,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1
14,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=O)/C=C/c1ccc(OC(C)=O)c(OC)c1
15,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=O)/C=C/c1ccc(OC(C)C)c(OC)c1
16,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=O)/C=C/c1ccc(OC)c(OC)c1
17,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=O)/C=C/c1ccc(OC=O)c(OC)c1
18,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=O)/C=C/c1ccc(OCC)c(OC)c1
19,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(=O)CC(=O)/C=C/c1ccc(OS)c(OC)c1
20,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CC(CC(=O)/C=C/c1ccc(O)c(OC)c1)=NO
21,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CCCC(=O)/C=C/c1ccc(O)c(OC)c1
22,COc1cc(/C=C/C(=O)CBr)ccc1O,C=CCOc1ccc(/C=C/C(=O)CBr)cc1OC
23,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=CCOc1ccc(/C=C/C(=O)CC(=O)C=C)cc1OC
24,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,C=C[C@H](O)CC(=O)/C=C/c1ccc(O)c(OC)c1
25,COc1cc(/C=C/C(=O)CBr)ccc1O,CCC(=O)/C=C/c1ccc(O)c(OC)c1
26,C=CC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1,CCC(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1
27,COc1cc(/C=C/C(=O)CBr)ccc1O,CCCOc1ccc(/C=C/C(=O)CBr)cc1OC
28,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1cc(O)c(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC
29,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=N)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC
30,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)C(=O)C(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC
31,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)C(C)C(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC
32,COc1cc(/C=C/C(=O)CBr)ccc1O,CCOc1ccc(/C=C/C(=O)CBr)cc1OC
33,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(/C=C/c2ccc(O)c(OC)c2)=N/O)cc1OC
34,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(/C=C/c2ccc(O)c(OC)c2)=NO)cc1OC
35,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(/C=C/c2ccc(O)c(OC)c2)=N\O)cc1OC
36,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=N)/C=C/c2ccc(O)c(OC)c2)cc1OC
37,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2cc(O)c(O)c(OC)c2)cc1OC
38,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2cc(OC)c(O)cc2O)cc1OC
39,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(Br)c2)cc1OC
40,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(Cl)c2)cc1OC
41,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(F)c2)cc1OC
42,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(O)c2)cc1OC
43,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1
44,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1Br
45,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1Cl
46,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1F
47,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1O
48,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC
49,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,CCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)cc1OC
