,SMILES,NFKB1,EGFR,SCScore,QED
0,C(=O)(/C=C/C1=CC=C(O)C(=C1)O)[O-],30410.17190200018,2524.9964992590662,2.151,0.489
1,C(=O)(/C=C/C1=CC=C(O)C(OC)=C1)[O-],13673.494384105888,1839.504648244904,1.746,0.694
2,C(=O)(CC(C1=CC=C(O)C(OC)=C1)=O)[O-],20162.237528845566,567.2750939785202,1.765,0.544
3,C(=O)(CC(C1=CC=C(O)C(OC)=C1)O)[O-],19700.639491931062,353.2897106669525,1.692,0.705
4,C(C(=CC=C(C(=O)[O-])/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)O)([O-])=O,4551.959156824933,72.19896938794425,2.859,0.225
5,C(C(=CC=C(C=O)/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(=C1)O)O)([O-])=O,29945.772818154088,53.073804273132126,2.902,0.142
6,C(C(=CC=C(C=O)/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)O)([O-])=O,9958.211435057408,51.86088638772301,2.723,0.198
7,C(C(=CC=C(C=O)/C=C/C(=O)CC(=O)CC(C1=CC=C(O)C(OC)=C1)O)O)([O-])=O,10110.289773969862,259.89320320997433,2.856,0.154
8,C(C(=CC=C(C=O)/C=C/C(=O)CC(=O)CCC1=CC=C(O)C(OC)=C1)O)([O-])=O,1243.8979057486151,56.941422735839176,3.297,0.186
9,C(C(=CC=C(C=O)CCC(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)O)([O-])=O,355.76537129021125,10.059421671289849,3.466,0.189
10,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(=C1)O)C=CC(O)=O)(O)=O,24553.847411261606,309.3743028782695,2.966,0.222
11,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C(CC(O)=O)O)(O)=O,31770.89278196717,555.277015248868,3.018,0.242
12,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O,12397.148407897532,245.31158341476177,2.929,0.316
13,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)CCC(O)=O)(O)=O,7378.11926328378,293.2567133549109,3.068,0.298
14,C(C=C(/C=C/C(=O)CC(=O)CC(C1=CC=C(O)C(OC)=C1)O)C=CC(O)=O)(O)=O,6654.4549272601325,602.7577237152855,2.998,0.244
15,C(C=C(/C=C/C(=O)CC(=O)CCC1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O,6127.494692183327,236.3264156327595,3.343,0.297
16,C(C=C(CCC(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O,5902.268769595362,153.60561420898088,3.65,0.298
17,C(CC(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)(C=CC(O)=O)O)(O)=O,15958.548688206034,171.9612991343895,2.809,0.315
18,C(CC(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O,10762.231092838845,227.44049413227688,3.288,0.387
19,C1(=CC(/C=C/C(=O)C)=CC=C1O)O,12827.242820565556,420.67635011949193,2.069,0.535
20,C1(=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(=C2)O)=CC=C1O)O,8512.75086357572,416.3231319040362,2.144,0.365
21,C1(=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O)O,15460.253608651423,731.3580064553051,2.109,0.401
22,C1(=CC(/C=C/C(=O)CC(=O)CC(C2=CC=C(O)C(=C2)O)O)=CC=C1O)O,609.4416575917455,169.06401774303652,2.859,0.291
23,C1(=CC(/C=C/C(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)=O)=CC=C1O)O,485.97512099008816,328.0519121723953,3.012,0.283
24,C1(=CC(/C=C/C(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)O)=CC=C1O)O,899.5459678540614,534.5252384700691,2.784,0.319
25,C1(=CC(/C=C/C(=O)CC(=O)CCC2=CC=C(O)C(OC)=C2)=CC=C1O)O,8249.209884963817,273.91774199606266,3.038,0.382
26,C1(=CC(C(CC(=O)C)O)=CC=C1O)O,3342.3773604416456,180.97115883409583,2.038,0.633
27,C1(=CC(C(CC(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)O)O)=CC=C1O)O,63.71394623415318,62.36199034107384,2.311,0.322
28,C1(=CC(CCC(=O)CC(=O)/C=C/C2=CC=C(O)C(=C2)O)=CC=C1O)O,2152.158725185377,195.74463728092277,3.391,0.349
29,C1(=CC(CCC(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O)O,2064.974549299109,206.5056172113806,3.111,0.382
30,C1(=CC(CCC(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)O)=CC=C1O)O,526.6988687298376,228.5108079771721,2.875,0.392
31,C1(=CC(CCC(=O)CC(=O)CCC2=CC=C(O)C(OC)=C2)=CC=C1O)O,1161.7637894447748,159.3081824890472,2.342,0.47
32,COC1=CC(/C=C/C(=O)C)=CC=C1O,15445.83183486229,896.2945429708784,1.668,0.745
33,COC1=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O,5487.929113542896,786.0352254255564,1.804,0.548
34,COC1=CC(/C=C/C(=O)CC(=O)C)=CC=C1O,8305.027738943783,510.3897625188527,2.006,0.625
35,COC1=CC(/C=C/C(=O)CC(=O)CC(C(=CC=C(O)C([O-])=O)C=O)O)=CC=C1O,411.0471123271689,268.11250480268046,2.85,0.152
36,COC1=CC(/C=C/C(=O)CC(=O)CC(C(C=CC(O)=O)=CC(O)=O)O)=CC=C1O,1315.194380169535,103.33851097072456,3.466,0.242
37,COC1=CC(/C=C/C(=O)CC(=O)CC(C2=CC=C(O)C(=C2)O)=O)=CC=C1O,884.2734972688953,679.656845924456,3.056,0.283
38,COC1=CC(/C=C/C(=O)CC(=O)CC(C2=CC=C(O)C(=C2)O)O)=CC=C1O,514.7829395672143,262.5058029679812,2.759,0.319
39,COC1=CC(/C=C/C(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)=O)=CC=C1O,182.6916717940924,389.9459118835934,2.84,0.388
40,COC1=CC(/C=C/C(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)O)=CC=C1O,379.54786093097835,459.6224139502883,2.632,0.448
41,COC1=CC(C(CC(=O)C)=O)=CC=C1O,72.3130517632563,34.363510702869554,1.987,0.602
42,COC1=CC(C(CC(=O)C)O)=CC=C1O,504.2160798885441,141.26355653513153,1.806,0.788
43,COC1=CC(C(CC(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)=O)O)=CC=C1O,55.33793115219172,133.25115507665254,2.51,0.408
44,COC1=CC(C(CC(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)O)O)=CC=C1O,22.556686263565066,39.29725897269939,2.172,0.443
45,COC1=CC(CCC(=O)C)=CC=C1O,1636.3375991090954,177.54895595906586,2.164,0.796
46,COC1=CC(CCC(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O,1275.6204520922545,281.4998381025609,2.947,0.52
47,COC1=CC(CCC(=O)CC(=O)CC(C2=CC=C(O)C(=C2)O)O)=CC=C1O,403.1696424327326,152.7294429082417,2.769,0.392
48,COC1=CC(CCC(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)=O)=CC=C1O,203.8693419393794,196.4573147856899,2.832,0.477
49,COC1=CC(CCC(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)O)=CC=C1O,383.9412329895386,294.3030905058656,2.695,0.536
50,COC1=CC(CCC(=O)CC(=O)CCC2=CC=C(O)C(OC)=C2)=CC=C1O,684.5457661114825,216.0800908233087,2.321,0.622
