,precursor,derivant
0,C(=O)(/C=C/C1=CC=C(O)C(OC)=C1)[O-],C(=O)(/C=C/C1=CC=C(O)C(=C1)O)[O-]
1,COC1=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O,C(=O)(/C=C/C1=CC=C(O)C(OC)=C1)[O-]
2,COC1=CC(/C=C/C(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)=O)=CC=C1O,C(=O)(CC(C1=CC=C(O)C(OC)=C1)=O)[O-]
3,COC1=CC(/C=C/C(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)O)=CC=C1O,C(=O)(CC(C1=CC=C(O)C(OC)=C1)O)[O-]
4,C(C(=CC=C(C=O)/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)O)([O-])=O,C(C(=CC=C(C(=O)[O-])/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)O)([O-])=O
5,C1(=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(=C2)O)=CC=C1O)O,C(C(=CC=C(C=O)/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(=C1)O)O)([O-])=O
6,C1(=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O)O,C(C(=CC=C(C=O)/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)O)([O-])=O
7,C1(=CC(/C=C/C(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)O)=CC=C1O)O,C(C(=CC=C(C=O)/C=C/C(=O)CC(=O)CC(C1=CC=C(O)C(OC)=C1)O)O)([O-])=O
8,C1(=CC(/C=C/C(=O)CC(=O)CCC2=CC=C(O)C(OC)=C2)=CC=C1O)O,C(C(=CC=C(C=O)/C=C/C(=O)CC(=O)CCC1=CC=C(O)C(OC)=C1)O)([O-])=O
9,C1(=CC(CCC(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O)O,C(C(=CC=C(C=O)CCC(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)O)([O-])=O
10,C1(=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(=C2)O)=CC=C1O)O,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(=C1)O)C=CC(O)=O)(O)=O
11,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C(CC(O)=O)O)(O)=O
12,C1(=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O)O,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O
13,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)CCC(O)=O)(O)=O
14,C1(=CC(/C=C/C(=O)CC(=O)CC(C2=CC=C(O)C(OC)=C2)O)=CC=C1O)O,C(C=C(/C=C/C(=O)CC(=O)CC(C1=CC=C(O)C(OC)=C1)O)C=CC(O)=O)(O)=O
15,C1(=CC(/C=C/C(=O)CC(=O)CCC2=CC=C(O)C(OC)=C2)=CC=C1O)O,C(C=C(/C=C/C(=O)CC(=O)CCC1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O
16,C1(=CC(CCC(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O)O,C(C=C(CCC(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O
17,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O,C(CC(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)(C=CC(O)=O)O)(O)=O
18,C(C=C(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O,C(CC(/C=C/C(=O)CC(=O)/C=C/C1=CC=C(O)C(OC)=C1)C=CC(O)=O)(O)=O
19,C1(=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O)O,C1(=CC(/C=C/C(=O)C)=CC=C1O)O
20,C1(=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O)O,C1(=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(=C2)O)=CC=C1O)O
21,COC1=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O,C1(=CC(/C=C/C(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O)O
