,SMILES,TUBB,SCScore,QED
0,C1(C(=O)C(C)[C@H]([C@H](OC(=O)C2=CC=CC=C2)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C5=CC=CC=C5)C(C)=C1C3(C)C)[C@]6(OC(C)=O)CO[C@@H]6CC(=O)[O-])O,4649.447131869926,4.53,0.116
1,C1(C(=O)C2(C)[C@H]([C@H](OC(=O)C3=CC=CC=C3)[C@]4(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C5=CC=CC=C5)C6=CC=CC=C6)C(C)=C1C4(C)C)[C@]7(OC(C)=O)CO[C@@H]7CC(=O)O2)O,179.19797254989086,4.676,0.138
2,C1(C(=O)[C@@]2(C)C([C@]3(OC(C)=O)CO[C@@H]3C[C@@H]2O)OC(=O)[C@]4(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C5=CC=CC=C5)C6=CC=CC=C6)C(C)=C1C4(C)C)O,19838.12444857595,4.523,0.155
3,C1(C(=O)[C@@]2(C)[C@H](C(=O)[C@]3(O)C[C@H](OC(=O)C(=O)[C@@H](NC(=O)C4=CC=CC=C4)C5=CC=CC=C5)C(C)=C1C3(C)C)[C@]6(OC(C)=O)CO[C@@H]6C[C@@H]2O)O,825.2289937435224,4.541,0.185
4,C1(C(=O)[C@@]2(C)[C@H](C(=O)[C@]3(O)C[C@H](OC(=O)[C@H](O)C(C4=CC=CC=C4)O)C(C)=C1C3(C)C)[C@]5(OC(C)=O)CO[C@@H]5C[C@@H]2O)O,469.8011771725222,3.792,0.225
5,C1(C(=O)[C@@]2(C)[C@H](C(=O)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](N)C4=CC=CC=C4)C(C)=C1C3(C)C)[C@]5(OC(C)=O)CO[C@@H]5C[C@@H]2O)O,3724.2613801352522,4.031,0.224
6,C1(C(=O)[C@@]2(C)[C@H](C(=O)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C5=CC=CC=C5)C(C)=C1C3(C)C)C6(CO[C@@H]6C[C@@H]2O)O)O,8834.040028618734,4.179,0.19
7,C1(C(=O)[C@@]2(C)[C@H](C(=O)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C5=CC=CC=C5)C(C)=C1C3(C)C)[C@]6(OC(C)=O)C(O[C@@H]6C[C@@H]2O)O)O,8834.040028618734,4.237,0.172
8,C1(C(=O)[C@@]2(C)[C@H](C(=O)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C5=CC=CC=C5)C(C)=C1C3(C)C)[C@]6(OC(C)=O)CO[C@@H]6CC2=O)O,8834.040028618734,4.674,0.185
9,C1(C(=O)[C@@]2(C)[C@H](C(=O)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C5=CC=CC=C5)C(C)=C1C3(C)C)[C@]6(OC(C)=O)CO[C@@H]6C[C@@H]2O)O,8834.040028618734,4.491,0.205
10,C1(C(=O)[C@@]2(C)[C@H](C(=O)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C5=CC=CC=C5)C(C)C1C3(C)C)[C@]6(OC(C)=O)CO[C@@H]6C[C@@H]2O)O,8105.0782071243475,3.899,0.259
